,Code,Name,Industry,Main_product,부채비율,시가총액(억),종가,매수,매도_1st,매도_2nd,매수비율(S-RIM),매도비율(S-RIM),ROE_20,ROE_19,roe_past_2,roe_past_3,Average_ROE_20(E),ROE_improve,Return_rate(BPS&ROE),영업이익_20(E),영업이익_19,영업이익_18,영업이익_17,Multiple,영업이익_비율
30,123890,한국자산신탁,신탁업 및 집합투자업,"부동산 신탁 서비스, REITs",5,4649.0,3750.0,6717.0,7702.0,11183.0,1.79,2.98,16.31,14.28,18.52,27.12,17.83,0,3.28,1550.0,1141.0,1379.0,1668.0,10,3.33
31,047050,포스코인터내셔널,상품 중개업,"무역(철강,화학,자동차부품),수출주선,대행,알선,가공원단,폴리우레탄,자동차시트 제조",0,17396.0,14100.0,25206.0,25585.0,26926.0,1.79,1.91,8.6,7.06,5.45,6.61,6.45,0,1.43,5305.0,6053.0,4726.0,4013.0,10,3.05
32,005190,동성화학,기초 화학물질 제조업,"화합물,화학제품(폴리우레탄수지,접착제,표면처리제,특수도료,폴리올) 제조",5,832.0,15600.0,27800.0,31599.0,45030.0,1.78,2.89,15.61,11.92,5.62,5.14,8.69,1,1.57,266.0,253.0,68.0,82.0,10,3.2
33,005950,이수화학,기초 화학물질 제조업,"등유,알킬벤젠,윤활유,노말파라핀 제조,도매",0,2049.0,8880.0,15357.0,16678.0,21347.0,1.73,2.4,12.38,-2.4,2.31,1.21,-0.23,0,-0.06,442.0,94.0,74.0,311.0,10,2.16
34,002990,금호산업,건물 건설업,"종합건설/여객운송,관광/부동산 임대,분양",0,2652.0,7240.0,12444.0,13847.0,18805.0,1.72,2.6,14.02,3.2,-0.13,27.07,6.07,0,1.13,805.0,555.0,423.0,311.0,10,3.04
35,210540,디와이파워,특수 목적용 기계 제조업,유공압기기 등,4,1132.0,10250.0,17542.0,19358.0,25777.0,1.71,2.51,13.44,12.03,18.33,26.71,16.58,0,3.1,315.0,259.0,358.0,336.0,10,2.78
36,028150,GS홈쇼핑,텔레비전 방송업,CATV홈쇼핑,5,7796.0,118800.0,201802.0,209034.0,234597.0,1.7,1.97,9.63,9.81,12.46,10.1,10.74,0,2.19,1336.0,1211.0,1368.0,1413.0,10,1.71
37,161000,애경유화,기초 화학물질 제조업,오르토프탈산디옥틸,5,2227.0,6950.0,11847.0,12103.0,13009.0,1.7,1.87,8.92,8.62,16.36,23.22,13.63,0,2.86,432.0,469.0,520.0,751.0,10,1.94
38,900340,윙입푸드,기타 금융업,육가공 제품,5,664.0,1385.0,2319.0,2495.0,3115.0,1.67,2.25,11.78,11.11,31.07,44.77,23.37,0,4.95,178.0,190.0,279.0,240.0,10,2.68
39,042660,대우조선해양,선박 및 보트 건조업,선박 제조,0,24282.0,22650.0,36799.0,38132.0,42845.0,1.62,1.89,9.65,-1.22,9.53,28.12,7.25,0,1.42,4699.0,2928.0,10248.0,7330.0,10,1.94
40,294870,HDC현대산업개발,건물 건설업,"외주주택, 자체공사, 일반건축, 토목 등",4,16246.0,24650.0,39510.0,43765.0,58804.0,1.6,2.39,13.7,20.3,0.0,0.0,10.15,0,2.65,4720.0,5515.0,3179.0,0.0,10,2.91
41,006040,동원산업,어로 어업,"원양어업,수산물가공(참치캔,맛김,어묵,맛살),도소매/음료사업(상쾌한아침)",0,8017.0,218000.0,348901.0,382122.0,499553.0,1.6,2.29,12.93,4.45,7.35,19.65,7.95,0,1.31,2638.0,1936.0,1777.0,2246.0,10,3.29
42,071050,한국금융지주,기타 금융업,금융지주회사,0,36891.0,66200.0,104484.0,111726.0,137326.0,1.58,2.07,11.42,18.14,12.96,14.11,15.74,0,2.47,6920.0,9418.0,6427.0,6543.0,10,1.88
43,053210,케이티스카이라이프,텔레비전 방송업,위성방송서비스,5,4682.0,9790.0,15407.0,15941.0,17828.0,1.57,1.82,9.57,8.02,8.33,10.25,8.5,0,1.63,891.0,694.0,667.0,754.0,10,1.9
44,044450,KSS해운,해상 운송업,"특수화물해상운송(케이컬,액화가스,냉동.냉장화물),선박대여",0,1917.0,8270.0,12734.0,12976.0,13830.0,1.54,1.67,8.79,8.79,8.73,11.09,9.15,0,1.72,524.0,529.0,471.0,451.0,10,2.73
45,067990,도이치모터스,자동차 판매업,수입자동차,1,1831.0,6530.0,9891.0,10406.0,12229.0,1.51,1.87,10.48,26.2,20.58,3.48,20.54,1,3.53,580.0,829.0,506.0,117.0,10,3.17
46,020000,한섬,봉제의복 제조업,"여성의류,금속 액세서리,신발,가방,선글라스 제조,판매",5,7832.0,31800.0,47784.0,47928.0,48438.0,1.5,1.52,8.03,8.37,7.56,5.96,7.7,1,1.33,1083.0,1065.0,912.0,550.0,10,1.38
47,004430,송원산업,기타 화학제품 제조업,"폴리머첨가제(PVC안정제,산화방지제),폴리우레탄수지,프라스틱첨가제 제조",3,2988.0,12450.0,18417.0,18743.0,19898.0,1.48,1.6,8.73,8.24,9.61,9.6,8.92,0,1.63,715.0,593.0,543.0,545.0,10,2.39
48,033660,아주캐피탈,기타 금융업,"투자회사,할부금융,리스/자동차정비,자동차리스",0,6762.0,11750.0,17082.0,18932.0,25473.0,1.45,2.17,13.74,12.97,12.5,7.23,11.86,1,1.84,1525.0,1338.0,1100.0,1126.0,10,2.26
49,004000,롯데정밀화학,기초 화학물질 제조업,"염소·셀룰로스계열, 암모니아 계열, 전자재료 등 화학제품 제조",5,11649.0,45150.0,64440.0,68826.0,84329.0,1.43,1.87,11.35,11.73,16.72,7.74,12.73,0,2.08,1574.0,1897.0,2107.0,1111.0,10,1.35
50,136490,선진,동물용 사료 및 조제식품 제조업,조제동물사료,1,2364.0,9940.0,14177.0,14732.0,16694.0,1.43,1.68,9.8,6.72,5.61,20.98,8.73,0,1.5,685.0,401.0,348.0,547.0,10,2.9
51,141000,비아트론,특수 목적용 기계 제조업,AMOLED 등 제조장비,5,1089.0,8990.0,12797.0,13990.0,18207.0,1.42,2.03,12.81,3.66,20.6,11.73,10.65,0,1.64,180.0,38.0,292.0,208.0,10,1.65
52,079980,휴비스,화학섬유 제조업,"합성섬유(폴리에스테르원사,원면),재생섬유,폴리에스텔 원사,원면,고상칩 제조,도소매",3,3188.0,9240.0,12972.0,13737.0,16442.0,1.4,1.78,10.85,-0.07,4.58,5.64,2.43,0,0.4,498.0,49.0,344.0,266.0,10,1.56
53,089850,유비벨록스,소프트웨어 개발 및 공급업,"모바일플랫폼 및 모바일솔루션, 스마트카드 등",5,591.0,8310.0,11372.0,11710.0,12904.0,1.37,1.55,9.32,8.11,5.27,-8.11,4.46,1,0.75,117.0,78.0,17.0,19.0,10,1.98
54,032640,LG유플러스,전기 통신업,"개인휴대통신서비스,음성서비스,데이터서비스,부가통신/단말기 도소매/프로그램 개발,자료제공",1,52830.0,12100.0,16223.0,16226.0,16238.0,1.34,1.34,7.9,6.3,7.97,10.88,7.62,0,1.29,8823.0,6862.0,7407.0,8263.0,10,1.67
55,255440,야스,특수 목적용 기계 제조업,"OLED 증착기, OLED 증착원",5,1769.0,13550.0,17794.0,22470.0,39001.0,1.31,2.88,26.55,11.22,29.17,20.84,18.81,0,2.04,470.0,125.0,442.0,178.0,10,2.66
56,011780,금호석유화학,기초 화학물질 제조업,"합성고무 SBR(스티렌부타디엔러버),BR(폴리부타디엔러버),합성수지,BD,라텍스 제조,도소매",3,30315.0,99500.0,127071.0,143203.0,200227.0,1.28,2.01,14.95,11.84,23.45,12.34,15.79,0,1.6,5164.0,3678.0,5546.0,2626.0,10,1.7
57,039340,한국경제TV,텔레비전 방송업,"광고수입, 협찬수입",5,1228.0,5340.0,6574.0,7365.0,10161.0,1.23,1.9,14.51,13.01,14.16,13.77,13.52,0,1.72,174.0,137.0,155.0,91.0,10,1.42
58,003070,코오롱글로벌,토목 건설업,"토목공사,일반건설,주택건설,해외건설,소각로설비공사/환경플랜트,폐처리기 제조",0,4790.0,19000.0,22850.0,26094.0,37563.0,1.2,1.98,15.98,10.74,3.59,3.38,7.13,1,0.87,1566.0,1256.0,768.0,725.0,10,3.27
59,308100,까스텔바작,"섬유, 의복, 신발 및 가죽제품 소매업",골프의류 및 골프잡화,5,663.0,10050.0,11981.0,12247.0,13189.0,1.19,1.31,8.95,9.85,19.56,13.04,13.62,0,2.0,96.0,90.0,146.0,120.0,10,1.45
60,001680,대상,기타 식품 제조업,"전분,라이신,물엿,과당,포도당,MSG및 사료,조미료,항생제,핵산,커피 제조,도매/토목공사,건축공사",1,9719.0,28050.0,32835.0,35726.0,45945.0,1.17,1.64,12.5,11.17,7.27,6.13,9.03,1,1.14,1850.0,1298.0,1202.0,967.0,10,1.9
61,039490,키움증권,금융 지원 서비스업,"유가증권의 매매, 위탁, 인수, 주선",0,25990.0,117500.0,132977.0,155322.0,234307.0,1.13,1.99,17.89,16.97,10.84,17.36,14.99,0,1.45,6075.0,4737.0,2890.0,3158.0,10,2.34
62,036890,진성티이씨,특수 목적용 기계 제조업,트랙롤라. 플로팅 씰,5,1648.0,7330.0,8206.0,9117.0,12337.0,1.12,1.68,13.91,16.91,19.4,9.9,16.57,0,1.98,263.0,299.0,280.0,189.0,10,1.6
63,066570,LG전자,통신 및 방송 장비 제조업,"이동통신단말기,C-TV,V.C.R.,컴퓨터,완전평면 TV,플라즈마 디스플레이 패널 TV,전자제품(세탁기외),CDMA(코드분할다중접속)이동통신,전자교환기,전송기기",0,141555.0,86500.0,93276.0,97271.0,111393.0,1.08,1.29,9.99,0.22,9.03,13.69,5.4,0,0.63,26926.0,24361.0,27033.0,24685.0,10,1.9
64,063080,게임빌,소프트웨어 개발 및 공급업,모바일게임,5,2467.0,37400.0,40566.0,41698.0,45699.0,1.08,1.22,9.23,5.54,-2.45,3.56,2.55,0,0.33,356.0,-171.0,-176.0,-201.0,15,2.16
65,049770,동원F&B,기타 식품 제조업,"참치캔,음료,냉동식품 제조,판매",3,6908.0,179000.0,186238.0,193567.0,219471.0,1.04,1.23,9.81,10.0,9.26,8.98,9.58,1,1.2,1068.0,1014.0,872.0,724.0,10,1.55
66,080000,에스엔유,특수 목적용 기계 제조업,"OLED증착장비, OLED봉지장비, LCD검사장비 등",5,1167.0,3400.0,3531.0,3651.0,4074.0,1.04,1.2,9.53,6.92,9.68,6.22,7.72,0,0.98,121.0,89.0,110.0,59.0,10,1.04
67,069260,휴켐스,기타 화학제품 제조업,"화합물,화학제품 제조",5,7236.0,17700.0,18291.0,19255.0,22662.0,1.03,1.28,10.51,10.82,17.02,21.3,14.63,0,1.8,932.0,1064.0,1392.0,1526.0,10,1.29
68,068790,DMS,특수 목적용 기계 제조업,LCD 제조장비,5,2013.0,8730.0,8877.0,9913.0,13577.0,1.02,1.56,14.28,10.87,10.61,2.91,9.46,1,1.02,303.0,227.0,303.0,166.0,10,1.51
69,064960,S&T모티브,자동차 신품 부품 제조업,"자동차부품(서스펜션모듈,전장품,속옵서버,에어백,트로틀바디,너클),방산품(총포) 제조,도매",5,7984.0,54600.0,55646.0,57254.0,62940.0,1.02,1.15,9.28,0.33,7.77,8.12,4.11,0,0.5,817.0,892.0,582.0,967.0,10,1.02
70,056190,에스에프에이,특수 목적용 기계 제조업,"반도체, Display 제조설비 및 공장자동화기기",5,11724.0,32650.0,32411.0,36953.0,53007.0,0.99,1.62,15.85,15.9,20.22,29.26,19.57,0,2.03,2290.0,2142.0,2344.0,2361.0,15,2.93
71,097950,CJ제일제당,기타 식품 제조업,"설탕,소맥분,조미식품,육가공식품(돈육,돼지비계,돼지식용설육),대두가공식품,사료,의약품,생활화학제품 제조,도매,무역/통신판매",0,60443.0,401500.0,397168.0,446215.0,619591.0,0.99,1.54,14.72,3.16,21.46,10.91,10.55,0,1.01,13295.0,8969.0,8327.0,7766.0,10,2.2
72,043290,케이맥,특수 목적용 기계 제조업,"FPD, 반도체 공정용 검사장비 및 바이오/의료진단기기, Lab용 분석기기",5,524.0,1410.0,1389.0,1542.0,2082.0,0.99,1.48,13.84,-21.99,14.37,-12.94,-8.36,0,-0.93,70.0,-63.0,81.0,-5.0,15,2.0
73,006060,화승인더스트리,플라스틱제품 제조업,"포장용 합성수지 제조/신발,필름 판매/부동산 임대",0,3900.0,7050.0,6928.0,7492.0,9486.0,0.98,1.35,12.11,19.66,7.94,15.42,15.05,0,1.65,899.0,1136.0,577.0,948.0,10,2.31
74,110790,크리스에프앤씨,봉제의복 제조업,골프웨어,5,2841.0,24250.0,23467.0,26146.0,35614.0,0.97,1.47,14.11,11.77,20.69,32.15,18.14,0,1.83,435.0,377.0,436.0,463.0,10,1.53
75,104830,원익머트리얼즈,기초 화학물질 제조업,"저메인가스,디실란,아산화질소,암모니아 등",5,3354.0,26600.0,25907.0,27052.0,31097.0,0.97,1.17,10.06,9.55,16.27,9.06,11.71,0,1.36,439.0,360.0,422.0,329.0,10,1.31
76,267980,매일유업,낙농제품 및 식용빙과류 제조업,"유제품(우유, 분유, 발효유, 치즈, 음료 등)",5,5365.0,68400.0,65389.0,74886.0,108458.0,0.96,1.59,16.21,17.14,18.39,0.0,14.7,0,1.41,914.0,853.0,744.0,512.0,10,1.7
77,010130,고려아연,1차 비철금속 제조업,"연,아연괴 제조,판매",5,76140.0,403500.0,386166.0,390849.0,407403.0,0.96,1.01,8.46,9.76,8.64,10.96,9.59,0,1.08,7914.0,8053.0,7647.0,8948.0,10,1.04
78,017960,한국카본,"구조용 금속제품, 탱크 및 증기발생기 제조업","탄소섬유(카본프리프레그(낚시대,테니스라켓,골프 Shaft,스포츠레저용품)),합성수지,글라스페이퍼,LNG선박용 단열판넬 제조,도매",5,4291.0,9760.0,9280.0,10529.0,14946.0,0.95,1.53,15.47,5.74,-0.97,0.24,2.59,0,0.25,663.0,253.0,62.0,58.0,10,1.55
79,086280,현대글로비스,기타 운송관련 서비스업,"화물운송주선,화물포장,자동차 수리/산업용 기계장비 임대",4,53250.0,142000.0,133151.0,139641.0,162582.0,0.94,1.14,10.3,11.25,10.6,18.23,12.2,0,1.36,6902.0,8765.0,7101.0,7271.0,10,1.3
80,000660,SK하이닉스,반도체 제조업,"반도체,컴퓨터,통신기기 제조,도매",5,549642.0,75500.0,70633.0,71058.0,72557.0,0.94,0.96,8.17,4.25,38.53,36.8,21.1,0,2.45,55922.0,27127.0,208438.0,137213.0,15,1.53
81,119850,지엔씨에너지,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","비상발전기, 소형열병합발전설비, 바이오가스발전설비",5,908.0,5570.0,5185.0,5313.0,5766.0,0.93,1.04,9.07,8.65,9.68,9.12,9.07,0,1.05,118.0,91.0,65.0,67.0,10,1.3
82,033780,케이티앤지,담배 제조업,"잎담배,제조담배,홍삼,홍삼제품 제조,판매",5,116287.0,84700.0,78132.0,84919.0,108908.0,0.92,1.29,12.43,12.39,11.38,15.71,12.61,0,1.23,14214.0,13820.0,12551.0,14261.0,10,1.22
83,051600,한전KPS,전기 및 통신 공사업,"일반전기공사,발전설비정비공사,점검,수리,엔지니어링",5,12690.0,28200.0,25807.0,27447.0,33245.0,0.92,1.18,11.1,14.98,17.08,16.04,15.86,0,1.68,1750.0,1939.0,1915.0,1641.0,10,1.38
84,040910,아이씨디,특수 목적용 기계 제조업,"건식세정기,LCD,반도체 장비,광정보통신 부품,장비 제조,연구개발,용역 서비스,수출입",5,2863.0,15950.0,14415.0,18702.0,33858.0,0.9,2.12,30.61,8.01,22.47,19.84,14.8,0,1.06,669.0,143.0,397.0,369.0,15,3.51
85,001630,종근당홀딩스,의약품 제조업,"의약품(항생제,위궤양치료제,장기이식면역억제제,고지혈증치료제(로바이드)) 제조,도매",5,6037.0,120500.0,109032.0,120670.0,161805.0,0.9,1.34,13.64,10.03,6.55,12.48,9.28,0,0.91,1271.0,862.0,537.0,435.0,10,2.11
86,192440,슈피겐코리아,그외 기타 제품 제조업,"핸드폰 케이스, 액정보호필름",5,4401.0,70800.0,62892.0,73485.0,110928.0,0.89,1.57,17.92,14.52,17.7,19.59,16.43,0,1.43,665.0,441.0,492.0,483.0,10,1.51
87,051490,나라엠앤디,특수 목적용 기계 제조업,"금형,사출 및 판금부품",1,1015.0,7150.0,6230.0,6586.0,7845.0,0.87,1.1,10.75,1.37,4.74,2.8,2.73,0,0.28,117.0,21.0,47.0,67.0,10,1.15
88,014820,동원시스템즈,플라스틱제품 제조업,포장용 플라스틱제품 제조 외,3,5739.0,22400.0,19229.0,20271.0,23955.0,0.86,1.07,10.59,8.69,13.17,20.8,12.2,0,1.21,880.0,752.0,788.0,880.0,10,1.53
89,007070,GS리테일,종합 소매업,"체인화 편의점,슈퍼마켓,마트,전자상거래/부동산(빌딩) 임대",3,25564.0,33200.0,28636.0,28941.0,30020.0,0.86,0.9,8.39,6.25,5.86,5.88,6.06,0,0.65,2934.0,2388.0,1803.0,1657.0,10,1.15
90,286940,롯데정보통신,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","SM, SI",4,5004.0,32500.0,27588.0,28933.0,33686.0,0.85,1.04,10.3,14.77,9.65,0.0,10.6,1,1.08,492.0,411.0,390.0,53.0,10,0.98
91,038680,에스넷,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","네트워크장비 설치 및 납품, 유지보수",5,1186.0,7380.0,6181.0,7119.0,10436.0,0.84,1.41,16.68,8.59,6.63,2.15,6.86,1,0.56,144.0,78.0,90.0,46.0,10,1.21
92,002900,동양물산기업,특수 목적용 기계 제조업,"농기계,연초용필터,금속제양식기,철강압연 제조,도매,수출입/신문서적 수출입,판매",1,1575.0,1250.0,1054.0,1165.0,1554.0,0.84,1.24,13.5,5.07,-11.73,-30.72,-6.5,1,-0.6,332.0,137.0,-54.0,-19.0,10,2.11
93,068930,디지털대성,일반 교습 학원,대성N스쿨 (교육 프랜차이즈),5,1526.0,6720.0,5608.0,6619.0,10193.0,0.83,1.52,18.85,19.7,8.48,10.78,14.47,0,1.11,212.0,211.0,126.0,100.0,10,1.39
94,267790,배럴,봉제의복 제조업,래쉬가드 및 워터스포츠 등,5,604.0,7660.0,6318.0,6702.0,8061.0,0.82,1.05,10.95,16.33,17.2,37.74,20.19,0,1.96,67.0,85.0,67.0,57.0,10,1.11
95,005930,삼성전자,통신 및 방송 장비 제조업,"IMT2000 서비스용 동기식 기지국,교환국장비,데이터단말기,동영상휴대폰,핵심칩,반도체제품,사무,계산 및 회계용기계",5,3247562.0,54400.0,44489.0,45837.0,50603.0,0.82,0.93,9.35,8.69,19.63,21.01,14.39,0,1.26,325158.0,277685.0,588867.0,536450.0,15,1.5
96,043150,바텍,의료용 기기 제조업,"치과용 디지털 X-ray기기 (파노라마, CT) 및 구강스캐너 등",5,3194.0,21500.0,17372.0,17857.0,19570.0,0.81,0.91,9.23,14.49,13.13,46.14,19.31,0,1.9,293.0,429.0,394.0,391.0,10,0.92
97,067170,오텍,자동차 재제조 부품 제조업,"냉동 및 내장탑차, 앰블란스",1,2216.0,14400.0,11567.0,12840.0,17340.0,0.8,1.2,13.85,7.58,11.25,17.45,10.45,0,0.9,411.0,305.0,298.0,364.0,10,1.85
98,010780,아이에스동서,"내화, 비내화 요업제품 제조업","타일,위생도기,콘크리트파일,P.C관,침목 제조,도매",3,14257.0,46150.0,36986.0,37672.0,40099.0,0.8,0.87,8.77,6.1,23.01,19.87,14.03,0,1.37,1919.0,662.0,3802.0,3245.0,10,1.35
