,Code,Name,Industry,Main_product,부채비율,시가총액(억),종가,매수,매도_1st,매도_2nd,매수비율(S-RIM),매도비율(S-RIM),ROE_20,ROE_19,roe_past_2,roe_past_3,ROE_improve,Average_ROE_Price,Return_rate(Ave_ROE)
162,004710,한솔테크닉스,전자부품 제조업,"백라이트유닛,인버터,폴리바리콘,모니터,통신장비 제조",3,2418.0,7530.0,8522.0,8672.0,9205.0,1.13,1.22,8.67,2.79,-9.64,8.96,0,-373.0,-0.05
163,122310,제노레이,의료용 기기 제조업,의료용 방사선 진단기기,4,1454.0,9990.0,5954.0,7315.0,12145.0,0.6,1.22,22.92,25.33,27.35,26.45,0,14094.0,1.41
164,063080,게임빌,소프트웨어 개발 및 공급업,모바일게임,6,2292.0,34750.0,39710.0,40194.0,41911.0,1.14,1.21,8.41,5.54,-2.45,3.56,0,12568.0,0.36
165,136540,윈스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","네크워크보안장비(IPS, 안티 DDoS)",6,2011.0,16550.0,12413.0,14103.0,20106.0,0.75,1.21,15.49,13.61,12.04,9.08,1,16166.0,0.98
166,041920,메디아나,의료용 기기 제조업,"환자감시장치, 자동심장 제세동기(AED)",6,1843.0,21300.0,10961.0,14231.0,25841.0,0.51,1.21,30.54,12.68,6.95,7.27,0,8345.0,0.39
167,228850,레이언스,의료용 기기 제조업,"TFT Detector, CMOS Detector, I/O Sensor",6,1916.0,11550.0,12681.0,12933.0,13828.0,1.1,1.2,8.78,7.81,8.77,8.55,0,13343.0,1.16
168,318010,팜스빌,기타 식품 제조업,다이어트 제품 및 건강기능 관련 제품,6,1106.0,13950.0,9250.0,10904.0,16778.0,0.66,1.2,18.63,17.63,21.05,0.0,0,14109.0,1.01
169,017890,한국알콜,기타 화학제품 제조업,주정,6,3651.0,16900.0,16885.0,17604.0,20159.0,1.0,1.19,9.92,10.23,10.48,8.18,0,19595.0,1.16
170,049770,동원F&B,기타 식품 제조업,"참치캔,음료,냉동식품 제조,판매",4,7236.0,187500.0,186814.0,194594.0,222222.0,1.0,1.19,9.87,10.0,9.26,8.98,1,215770.0,1.15
171,061040,알에프텍,통신 및 방송 장비 제조업,"핸드폰 충전기, 핸즈프리",6,2862.0,11300.0,7190.0,8562.0,13432.0,0.64,1.19,19.59,-1.42,5.51,3.19,0,1327.0,0.12
172,220630,해마로푸드서비스,음·식료품 및 담배 도매업,"햄버거, 치킨, 식음료유통",5,2439.0,2395.0,1257.0,1600.0,2821.0,0.52,1.18,27.6,18.15,26.3,22.49,0,2371.0,0.99
173,012450,한화에어로스페이스,"항공기,우주선 및 부품 제조업","항공기엔진,특수방산장비 제조/정비사업",1,11847.0,23400.0,44239.0,40549.0,27444.0,1.89,1.17,4.38,5.45,1.42,-2.14,1,17477.0,0.75
174,285130,SK케미칼,합성고무 및 플라스틱 물질 제조업,"PETG 수지, PET 수지, 바이오디젤, 백신",2,16673.0,142000.0,84797.0,102772.0,166603.0,0.6,1.17,21.41,1.51,0.87,0.0,1,7240.0,0.05
175,308100,까스텔바작,"섬유, 의복, 신발 및 가죽제품 소매업",골프의류 및 골프잡화,6,762.0,11550.0,12018.0,12313.0,13362.0,1.04,1.16,9.01,9.85,19.56,13.04,0,20191.0,1.75
176,250930,예선테크,플라스틱제품 제조업,기업인수합병,3,660.0,2000.0,1368.0,1578.0,2322.0,0.68,1.16,16.69,-11.74,48.65,-11.09,0,1182.0,0.59
177,078930,GS,기타 금융업,지주회사/부동산 임대,2,32520.0,35000.0,83072.0,73631.0,40104.0,2.37,1.15,3.29,6.26,11.14,13.42,0,108580.0,3.1
178,017670,SK텔레콤,전기 통신업,"이동전화,무선호출서비스,부가통신",6,173603.0,215000.0,298646.0,287128.0,246227.0,1.39,1.15,6.15,3.92,15.52,15.38,0,377634.0,1.76
179,039570,HDC아이콘트롤스,전기 및 통신 공사업,"기계설비공사, 스마트홈, 지능형 빌딩, SOC",6,1279.0,7770.0,10650.0,10252.0,8839.0,1.37,1.14,6.2,-3.13,11.99,12.75,0,5954.0,0.77
180,015860,일진홀딩스,기타 금융업,"전기산업용기기(개폐기,차단기,배전반),자동화시스템,자동차엔진부품,절연전선,금구류,고압선,저압선 제조,판매/전기공사,가스절연차단기",1,2243.0,4545.0,5992.0,5805.0,5141.0,1.32,1.13,6.46,4.52,-0.53,-7.14,1,701.0,0.15
181,079430,현대리바트,가구 제조업,"일반목재가구(책상,침실가구),주방가구,목창호,사무용가구,선실가구 제조",6,4353.0,21200.0,23038.0,23241.0,23961.0,1.09,1.13,8.25,4.3,9.03,10.69,0,19889.0,0.94
182,007810,코리아써키트,전자부품 제조업,"인쇄회로기판,Module 제조/부동산(건물) 임대",6,3142.0,13300.0,14300.0,14453.0,14997.0,1.08,1.13,8.34,0.21,-10.23,6.55,0,-3435.0,-0.26
183,010130,고려아연,1차 비철금속 제조업,"연,아연괴 제조,판매",6,70479.0,373500.0,389781.0,397205.0,423571.0,1.04,1.13,8.74,9.76,8.64,10.96,0,438632.0,1.17
