,Code,Name,Industry,Main_product,부채비율,시가총액(억),종가,PER_EPS,PBR_BPS,Return_rate(PER),Return_rate(PBR),ROE_20,ROE_19,roe_past_2,roe_past_3
42,025000,KPX케미칼,기초 화학물질 제조업,"PPG,PU RESIN,우레탄수지,대향막박리재,반도체 CM PAD,Polyether Polyol,산업용기초화학제품,화공약품 제조,판매",6,2243,46350.0,78217.43,63078.77,68.75,36.09,7.32,9.04,2.54,6.19
43,111770,영원무역,상품 종합 도매업,스포츠의류,6,10878,24550.0,41418.42,46810.42,68.71,90.67,8.16,9.82,8.15,8.78
44,036830,솔브레인홀딩스,기타 화학제품 제조업,"반도체,디스플레이,2차전지 공정용 화학제품",6,16685,95900.0,161743.45,149617.44,68.66,56.01,18.64,15.06,14.53,6.85
45,028150,GS홈쇼핑,텔레비전 방송업,CATV홈쇼핑,6,7068,107700.0,179176.15,202361.25,66.37,87.89,9.41,9.81,12.46,10.1
46,039030,이오테크닉스,특수 목적용 기계 제조업,레이저 마커 및 레이저 응용기기,6,13983,113500.0,188413.48,119411.4,66.0,5.21,10.72,3.17,5.98,12.7
47,093050,LF,봉제의복 제조업,"기성복, 의류, 잡화, 제조",6,3465,11850.0,19505.17,25570.65,64.6,115.79,4.35,5.65,7.35,6.87
48,123890,한국자산신탁,신탁업 및 집합투자업,"부동산 신탁 서비스, REITs",6,3391,2735.0,4474.58,5450.47,63.6,99.29,16.42,14.28,18.52,27.12
49,036890,진성티이씨,특수 목적용 기계 제조업,트랙롤라. 플로팅 씰,6,1594,7090.0,11430.4,10155.99,61.22,43.24,13.91,16.91,19.4,9.9
50,043150,바텍,의료용 기기 제조업,"치과용 디지털 X-ray기기 (파노라마, CT) 및 구강스캐너 등",6,3053,20550.0,32980.57,51317.03,60.49,149.72,12.42,14.49,13.13,46.14
51,000100,유한양행,의약품 제조업,"의약품(삐콤씨,알마겔,세파졸린주사,아코텍스주사,이세파신,신생아호흡곤란치료제 등),생활용품(유한락스,비누,홈키파),식혜 도매",6,34097,51000.0,80636.53,47972.0,58.11,-5.94,9.0,2.43,3.55,7.04
52,033290,코웰패션,"섬유, 의복, 신발 및 가죽제품 소매업","콘덴서,저항기",6,5160,5830.0,9110.33,7584.0,56.27,30.09,23.8,22.72,26.8,29.71
53,014830,유니드,기초 화학물질 제조업,"탄산칼륨,가성칼륨,가성카리,탄산카리(무기화합물),MDF(가공목재) 제조,도매",6,3667,41250.0,64094.62,0.0,55.38,-100.0,10.66,9.87,5.52,6.19
54,036190,금화피에스시,전기 및 통신 공사업,"설비,철물,전기,강구조물",6,1455,24250.0,37455.75,0.0,54.46,-100.0,12.11,12.04,19.69,11.76
55,034830,한국토지신탁,신탁업 및 집합투자업,부동산신탁 등,6,4355,1725.0,2637.96,3786.59,52.93,119.51,12.54,12.72,21.75,25.66
56,080000,에스엔유,특수 목적용 기계 제조업,"OLED증착장비, OLED봉지장비, LCD검사장비 등",6,1242,3620.0,5506.13,0.0,52.1,-100.0,9.53,6.92,9.68,6.22
57,240810,원익IPS,특수 목적용 기계 제조업,반도체 제조용 기계,6,17081,34800.0,52915.28,40815.5,52.06,17.29,19.62,9.16,25.45,35.83
