,Code,Name,Industry,Main_product,부채비율,시가총액(억),종가,PER_EPS,PBR_BPS,Return_rate(PER),Return_rate(PBR),ROE_20,ROE_19,roe_past_2,roe_past_3
63,104830,원익머트리얼즈,기초 화학물질 제조업,"저메인가스,디실란,아산화질소,암모니아 등",6,3474,27550.0,40682.95,40871.03,47.67,48.35,9.72,9.55,16.27,9.06
64,036890,진성티이씨,특수 목적용 기계 제조업,트랙롤라. 플로팅 씰,6,1776,7900.0,11564.16,10295.29,46.38,30.32,13.91,16.91,19.4,9.9
65,021240,코웨이,그외 기타 개인 서비스업,"렌탈 서비스(정수기,비데, 필터교환 등), 가정용기기 도매,판매,제조,폐기물처리설비,수출(정수기,청정기)",5,54981,74500.0,108291.98,101278.19,45.36,35.94,32.38,30.74,33.84,30.12
66,068930,디지털대성,일반 교습 학원,대성N스쿨 (교육 프랜차이즈),6,1383,6100.0,8845.03,0.0,45.0,-100.0,18.85,19.7,8.48,10.78
67,034310,NICE,회사 본부 및 경영 컨설팅 서비스업,"기업신용분석,유가증권등급평정,기업정보,긍융정보,경제정보,소비자신용정보 제공,시장조사,사회여론조사,점외 CD/ATM사업",6,8069,21300.0,30743.42,23160.83,44.34,8.74,9.42,4.39,10.01,9.21
68,069260,휴켐스,기타 화학제품 제조업,"화합물,화학제품 제조",6,6725,16450.0,23531.4,24385.77,43.05,48.24,11.12,10.82,17.02,21.3
69,000100,유한양행,의약품 제조업,"의약품(삐콤씨,알마겔,세파졸린주사,아코텍스주사,이세파신,신생아호흡곤란치료제 등),생활용품(유한락스,비누,홈키파),식혜 도매",6,37774,56500.0,80784.34,49226.33,42.98,-12.87,8.86,2.43,3.55,7.04
70,215200,메가스터디교육,일반 교습 학원,"오프라인 학원, 온라인 강의",6,4014,33950.0,48287.28,27042.21,42.23,-20.35,14.22,20.45,20.86,5.52
71,005180,빙그레,낙농제품 및 식용빙과류 제조업,"아이스크림,우유,스낵,유산균(욥닥터캡슐) 제조",6,6118,62100.0,87529.59,70710.68,40.95,13.87,7.45,7.36,6.37,5.64
72,079430,현대리바트,가구 제조업,"일반목재가구(책상,침실가구),주방가구,목창호,사무용가구,선실가구 제조",6,3881,18900.0,26515.31,31397.83,40.29,66.13,8.25,4.3,9.03,10.69
73,031430,신세계인터내셔날,"섬유, 의복, 신발 및 가죽제품 소매업","섬유, 의복, 신발 및 가죽제품 소매",6,10603,148500.0,206089.94,158324.3,38.78,6.62,9.65,12.98,11.09,4.96
74,099190,아이센스,의료용 기기 제조업,"혈당측정스트립, 혈당측정기기 등",6,3771,27450.0,38070.08,36606.97,38.69,33.36,12.49,12.35,13.16,10.07
75,140860,파크시스템스,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",연구용 및 산업용 원자현미경,6,3721,55800.0,74607.0,49198.92,33.7,-11.83,30.13,21.14,16.78,15.95
76,020000,한섬,봉제의복 제조업,"여성의류,금속 액세서리,신발,가방,선글라스 제조,판매",6,8054,32700.0,43544.88,40495.86,33.16,23.84,8.08,8.37,7.56,5.96
77,200670,휴메딕스,의약품 제조업,"히알루론산 관절염치료제, 히알루론산 더말필러",6,2837,28450.0,37709.79,37633.69,32.55,32.28,10.84,9.55,8.6,11.0
78,036930,주성엔지니어링,특수 목적용 기계 제조업,LP CVD,5,3570,7400.0,9728.78,13194.07,31.47,78.3,9.55,11.5,22.21,25.0
79,214450,파마리서치프로덕트,생활용품 도매업,재생의약품,6,5623,58400.0,76452.59,61081.5,30.91,4.59,11.19,8.2,7.65,7.39
80,035760,CJ ENM,텔레비전 방송업,"의류, 생활주방, 가전제품, 보석, 기타",6,25438,116000.0,151293.05,184950.44,30.43,59.44,4.85,3.65,8.58,13.45
81,083450,GST,특수 목적용 기계 제조업,"GasScrubber,Chiller",6,1831,19650.0,25602.46,14616.62,30.29,-25.62,27.29,19.83,12.42,23.25
82,037560,LG헬로비전,텔레비전 방송업,"케이블TV, 인터넷서비스 등",6,3075,3970.0,5130.48,7953.88,29.23,100.35,2.48,-9.4,3.83,2.96
83,228850,레이언스,의료용 기기 제조업,"TFT Detector, CMOS Detector, I/O Sensor",6,1875,11300.0,14539.03,14873.1,28.66,31.62,8.78,7.81,8.77,8.55
84,001630,종근당홀딩스,의약품 제조업,"의약품(항생제,위궤양치료제,장기이식면역억제제,고지혈증치료제(로바이드)) 제조,도매",6,6012,120000.0,154197.87,111376.86,28.5,-7.19,11.4,10.03,6.55,12.48
85,033780,케이티앤지,담배 제조업,"잎담배,제조담배,홍삼,홍삼제품 제조,판매",6,110383,80400.0,103178.08,118377.9,28.33,47.24,12.47,12.39,11.38,15.71
86,012750,에스원,"경비, 경호 및 탐정업","부가통신 서비스(경비),안전관리용역,CCTV카메라",6,32299,85000.0,108105.69,108953.41,27.18,28.18,11.45,11.32,8.34,12.42
87,046890,서울반도체,반도체 제조업,"Display, Chip LED, Lamp",6,8454,14500.0,18427.66,20128.19,27.09,38.82,5.04,5.27,10.1,6.73
88,003850,보령제약,의약품 제조업,"의약품(제산제(겔포스),구심,용각산,고혈압치료제(카프릴),소염진통제(멘소레담),항생제(듀리세프),혈전치료제(아스트릭스)) 제조",6,8095,17000.0,21382.88,15895.88,25.78,-6.49,9.68,11.95,8.03,25.48
89,004000,롯데정밀화학,기초 화학물질 제조업,"염소·셀룰로스계열, 암모니아 계열, 전자재료 등 화학제품 제조",6,11068,42900.0,53912.4,53757.4,25.67,25.31,11.5,11.73,16.72,7.74
90,112610,씨에스윈드,"구조용 금속제품, 탱크 및 증기발생기 제조업",풍력발전타워 제조,6,11391,65900.0,82638.08,38636.64,25.4,-41.37,15.24,9.92,1.96,12.98
91,067160,아프리카TV,소프트웨어 개발 및 공급업,미디어플랫폼,6,7230,62900.0,78297.27,63318.05,24.48,0.66,24.69,32.52,26.6,23.24
