,Code,Name,Industry,Main_product,부채비율,시가총액(억),종가,S-RIM,매수금액,매도금액_1st,매도금액_2nd,매수비율(S-RIM),매도비율(S-RIM),ROE_20,ROE_19,roe_past_2,roe_past_3,ROE_improve,Return_rate(BPS&ROE),영업이익_20(E),영업이익_19,영업이익_18,영업이익_17,Multiple,영업이익_비율,매출액_20(E),매출액_19,매출액_18,매출액_17
803,025770,한국정보통신,전기 통신업,신용카드조회기,5,3303.0,8780.0,Ave ROE,6467.0,7169.0,9657.0,0.74,1.1,0.0,12.7,14.21,15.85,No,1.08,0.0,342.0,335.0,378.0,10,0.0,0.0,4988.0,4435.0,3766.0
804,108230,톱텍,특수 목적용 기계 제조업,평판디스플레이 제조용 자동화설비,4,5152.0,14050.0,Ave ROE,10417.0,11281.0,14341.0,0.74,1.02,0.0,1.09,5.96,57.85,No,1.09,0.0,-66.0,82.0,2117.0,10,0.0,0.0,1672.0,3088.0,11384.0
805,250000,보라티알,음·식료품 및 담배 도매업,"유가공품, 소스류, 파스타류",5,790.0,12300.0,Ave ROE,9121.0,9594.0,11270.0,0.74,0.92,0.0,6.26,9.77,24.34,No,0.89,0.0,32.0,51.0,92.0,10,0.0,0.0,468.0,420.0,421.0
806,009830,한화솔루션,기초 화학물질 제조업,"합성수지,유화부문(LDPE,LLDPE)제품 제조,플라스틱가공품(PVC),CA,무기화학제품,부동산업",1,78973.0,48800.0,S-RIM,36138.0,36301.0,36880.0,0.74,0.76,8.08,-4.02,3.08,14.6,No,0.13,6822.0,3783.0,3543.0,7564.0,10,0.86,89319.0,95033.0,90460.0,93418.0
807,011040,경동제약,의약품 제조업,"로사졸정, 시사프렌정, 디로핀정, 타론정.주",5,3178.0,10800.0,Ave ROE,7991.0,7833.0,7273.0,0.74,0.67,0.0,9.18,2.42,9.5,No,0.77,0.0,246.0,204.0,309.0,10,0.0,0.0,1765.0,1793.0,1778.0
808,065440,이루온,소프트웨어 개발 및 공급업,이동통신 핵심망 및 서비스망 솔루션 개발 공급,3,367.0,1380.0,Ave ROE,1028.0,819.0,79.0,0.74,0.06,0.0,1.58,3.5,-8.88,No,0.06,0.0,10.0,13.0,-4.0,10,0.0,0.0,494.0,483.0,349.0
809,307870,상상인이안1호스팩,금융 지원 서비스업,기업인수합병,5,95.0,2010.0,Ave ROE,1479.0,1181.0,125.0,0.74,0.06,0.0,1.05,0.0,0.0,No,0.06,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0
810,310840,엔에이치스팩13호,금융 지원 서비스업,기업인수합병,5,69.0,2030.0,Ave ROE,1496.0,1190.0,109.0,0.74,0.05,0.0,0.9,0.0,0.0,No,0.05,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0
811,340440,한화플러스제1호스팩,금융 지원 서비스업,기업인수,5,94.0,2000.0,Ave ROE,1479.0,1153.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0
812,069110,코스온,기타 화학제품 제조업,화장품,5,997.0,5010.0,Ave ROE,3693.0,2436.0,-2016.0,0.74,-0.4,0.0,-4.95,-2.32,1.73,No,-0.36,0.0,6.0,33.0,47.0,10,0.0,0.0,1093.0,1103.0,1005.0
813,036710,심텍홀딩스,통신 및 방송 장비 제조업,반도체용 인쇄회로기판,1,1023.0,2485.0,Ave ROE,1832.0,953.0,-2159.0,0.74,-0.87,0.0,-12.11,0.53,1.25,No,-0.88,0.0,-171.0,297.0,274.0,15,0.0,0.0,10003.0,10071.0,8124.0
