,Code,Name,Industry,Main_product,부채비율,시가총액(억),종가,EPS*ROE,Return_Rate,ROE_20,ROE_19,roe_past_2,roe_past_3,영업이익 - 20E,그룹,Est.시가총액(억),Est / 현재 (%)
1951,302920,더콘텐츠온,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화제작, 투자, 배급 및 영화디지털배급",2,530.0,11650.0,0.0,0.0,0.0,10.64,3.37,18.99,0.0,10,0.0,0.0
1952,303030,지니틱스,반도체 제조업,기업 인수 및 합병,5,1043.0,2945.0,0.0,0.0,0.0,1.96,30.07,-6.32,0.0,10,0.0,0.0
1953,303360,프로테옴텍,의료용품 및 기타 의약 관련제품 제조업,"알러지진단키트, 임신진단테스트기, 면역진단키트",5,654.0,12950.0,0.0,0.0,0.0,-15.92,7.56,-15.25,0.0,20,0.0,0.0
1954,305090,마이크로디지탈,의료용 기기 제조업,"바이오 분석 시스템, 메디칼 자동화 시스템",4,1020.0,14050.0,0.0,0.0,0.0,-47.2,-35.62,-6.45,0.0,20,0.0,0.0
1955,306200,세아제강,1차 철강 제조업,강관,6,1784.0,62900.0,0.0,0.0,0.0,4.42,0.0,0.0,0.0,10,0.0,0.0
1956,306620,네온테크,특수 목적용 기계 제조업,기업인수합병,1,1057.0,2850.0,0.0,0.0,0.0,5.75,12.56,1.66,0.0,10,0.0,0.0
1957,307070,SK4호스팩,금융 지원 서비스업,기업인수합병,6,104.0,2020.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10,0.0,0.0
1958,307160,하나머스트제6호스팩,금융 지원 서비스업,기업인수합병,6,98.0,2125.0,0.0,0.0,0.0,1.12,0.0,0.0,0.0,10,0.0,0.0
1959,307180,아이엘사이언스,전구 및 조명장치 제조업,LED용 실리콘렌즈 외,4,691.0,3290.0,0.0,0.0,0.0,-37.29,42.77,0.0,0.0,10,0.0,0.0
1960,307280,교보8호스팩,금융 지원 서비스업,기업인수합병,6,79.0,2115.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,10,0.0,0.0
1961,307750,대신밸런스제6호스팩,금융 지원 서비스업,기업 인수 및 합병,6,103.0,2060.0,0.0,0.0,0.0,-0.35,0.0,0.0,0.0,10,0.0,0.0
1962,307870,상상인이안1호스팩,금융 지원 서비스업,기업인수합병,6,95.0,2005.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,10,0.0,0.0
1963,307930,컴퍼니케이,기타 금융업,중소 벤처기업 투자,6,1155.0,7400.0,0.0,0.0,0.0,22.88,25.53,0.0,0.0,10,0.0,0.0
1964,308170,센트랄모텍,자동차 신품 부품 제조업,"이너레이스, 오디 클러치보스, 로터샤프트, 슬리브기어, 컨트롤 암, 엑슬",1,2398.0,27850.0,0.0,0.0,0.0,5.74,6.27,15.87,0.0,10,0.0,0.0
1965,308700,테크엔,전구 및 조명장치 제조업,LED조명장치,1,48.0,1190.0,0.0,0.0,0.0,-38.21,2.35,15.85,0.0,10,0.0,0.0
1966,309900,티티씨디펜스,"그외 기타 전문, 과학 및 기술 서비스업","Anti-Drone, UGV, 방폭블록, 방검조끼 등",6,195.0,1950.0,0.0,0.0,0.0,-3.46,6.99,0.0,0.0,10,0.0,0.0
1967,309930,삼성머스트스팩3호,금융 지원 서비스업,기업인수합병,6,99.0,2165.0,0.0,0.0,0.0,1.22,0.0,0.0,0.0,10,0.0,0.0
1968,310200,애니플러스,"영화, 비디오물, 방송프로그램 제작 및 배급업",기업인수합병,3,455.0,1630.0,0.0,0.0,0.0,-33.34,37.28,0.0,0.0,10,0.0,0.0
1969,310840,엔에이치스팩13호,금융 지원 서비스업,기업인수합병,6,70.0,2060.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,10,0.0,0.0
1970,310870,한국제8호스팩,금융 지원 서비스업,기업인수 및 합병,6,69.0,2020.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,10,0.0,0.0
1971,311060,엘에이티,특수 목적용 기계 제조업,"In-Line Sputter, OLED 패널 청정물류 이송 장비 등",1,101.0,3970.0,0.0,0.0,0.0,-3.95,25.4,37.14,0.0,10,0.0,0.0
1972,311270,키움제5호스팩,금융 지원 서비스업,기업인수합병,6,73.0,2015.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,10,0.0,0.0
1973,311390,네오크레마,기타 식품 제조업,기능성 식품 원료,5,543.0,7430.0,0.0,0.0,0.0,3.37,22.58,0.0,0.0,10,0.0,0.0
1974,311690,천랩,자연과학 및 공학 연구개발업,"생명정보 플랫폼, 마이크로바이옴 분석 서비스",6,1483.0,38300.0,0.0,0.0,0.0,-20.88,-26.19,-16.61,0.0,10,0.0,0.0
1975,312610,에이에프더블류,일차전지 및 축전지 제조업,음극마찰용접단자,5,1185.0,11700.0,0.0,0.0,0.0,11.89,50.71,0.0,0.0,10,0.0,0.0
1976,313750,유안타제4호스팩,금융 지원 서비스업,기업인수합병,5,93.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0
1977,313760,윌링스,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",태양광 인버터 등,3,634.0,13050.0,0.0,0.0,0.0,10.78,0.0,9.8,0.0,10,0.0,0.0
1978,314130,지놈앤컴퍼니,기초 의약물질 및 생물학적 제제 제조업,생체유익균 치료제/건강기능식품/화장품,6,3674.0,43600.0,0.0,0.0,0.0,0.0,-80.66,-65.36,0.0,10,0.0,0.0
1979,317030,케이비17호스팩,금융 지원 서비스업,금융사업지원서비스,6,109.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0
1980,317120,라닉스,반도체 제조업,"자동차 및 IoT 통신,보안 솔루션",4,722.0,7650.0,0.0,0.0,0.0,-1.19,15.7,0.0,0.0,10,0.0,0.0
1981,317240,하이제4호스팩,금융 지원 서비스업,기업인수합병,6,90.0,2040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0
1982,317320,한화에스비아이스팩,금융 지원 서비스업,기업인수합병,6,122.0,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0
1983,317330,덕산테코피아,기타 화학제품 제조업,"OLED 소재, 반도체 소재",5,2628.0,14300.0,0.0,0.0,0.0,10.78,36.08,67.38,0.0,20,0.0,0.0
1984,317400,자이에스앤디,부동산 임대 및 공급업,"부동산 관리, 정보통신 공사, 아파트 AS 및 옵션 제품 공급, 건축물 시공 및 분양",3,1829.0,6830.0,0.0,0.0,0.0,13.56,32.29,0.0,0.0,10,0.0,0.0
1985,317530,캐리소프트,"영화, 비디오물, 방송프로그램 제작 및 배급업","영상 콘텐츠(30.05%), 공연(29.76%), 키즈카페(17.38%), 커머스(12.77%), 라이선스 및 기타(10.04%)",5,259.0,3830.0,0.0,0.0,0.0,-19.45,-51.25,0.0,0.0,10,0.0,0.0
1986,317770,슈프리마아이디,전자부품 제조업,"지문인식 등록, 인증 기기 및 솔루션",6,473.0,15600.0,0.0,0.0,0.0,3.53,22.67,0.0,0.0,10,0.0,0.0
1987,317830,에스피시스템스,특수 목적용 기계 제조업,산업용 갠트리 로봇,4,497.0,6100.0,0.0,0.0,0.0,5.22,19.12,0.0,0.0,10,0.0,0.0
1988,317850,대모,특수 목적용 기계 제조업,"유압브레이커, 특수장비/부품, 퀵커플러 등",6,454.0,5450.0,0.0,0.0,0.0,4.49,9.54,0.0,0.0,10,0.0,0.0
1989,317860,노드메이슨,기타 화학제품 제조업,헉슬리/Huxley 화장품(스킨케어 스페셜/스킨케어베이직),6,294.0,7840.0,0.0,0.0,0.0,-7.62,38.48,0.0,0.0,10,0.0,0.0
1990,317870,엔바이오니아,그외 기타 제품 제조업,양전하필터(정수기),2,500.0,6680.0,0.0,0.0,0.0,7.25,13.58,52.45,0.0,10,0.0,0.0
1991,318000,한국바이오젠,합성고무 및 플라스틱 물질 제조업,"실리콘 소재(실란 모노머, 실리콘 레진&폴리머, 실리콘 융합소재)",6,574.0,7060.0,0.0,0.0,0.0,-7.66,21.41,0.0,0.0,10,0.0,0.0
