,Code,Name,Industry,Main_product,부채비율,시가총액(억),종가,매수,매도_1st,매도_2nd,매수비율(S-RIM),매도비율(S-RIM),ROE_20,ROE_19,roe_past_2,roe_past_3,ROE_improve,Average_ROE_Price,Return_rate(Ave_ROE)
1003,311390,네오크레마,기타 식품 제조업,기능성 식품 원료,5,543.0,7430.0,0.0,0.0,0.0,0.0,0.0,0.0,3.37,22.58,0.0,0,6106.0,0.82
1004,000650,천일고속,육상 여객 운송업,"고속버스운수(경부선,44개 노선),도로여객운수업,운수창고업,유류판매,부동산 임대",6,886.0,62000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,-0.38,63.04,0,50234.0,0.81
1005,009520,포스코엠텍,1차 철강 제조업,철강포장용역 및 Al탈산제 생산,5,1909.0,4585.0,0.0,0.0,0.0,0.0,0.0,0.0,11.87,16.5,12.39,0,3719.0,0.81
1006,011700,한신기계공업,일반 목적용 기계 제조업,"공기압축기,공구류 제조,판매/오파",6,438.0,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01,4.24,6.03,0,1095.0,0.81
1007,026960,동서,음·식료품 및 담배 도매업,"식품 유통, 다류 및 연포장재 제조 등",6,21535.0,21600.0,0.0,0.0,0.0,0.0,0.0,0.0,10.53,9.39,10.21,0,17484.0,0.81
1008,078150,HB테크놀러지,특수 목적용 기계 제조업,TFT-LCD검사장비,6,1813.0,2295.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,4.38,27.22,0,1870.0,0.81
1009,018120,진로발효,알코올음료 제조업,주정,6,1986.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,15.81,14.75,18.23,0,23966.0,0.8
1010,045340,토탈소프트,소프트웨어 개발 및 공급업,해운물류소프트웨어 (CATOS 등),2,467.0,5460.0,0.0,0.0,0.0,0.0,0.0,0.0,25.64,37.13,5.38,0,4370.0,0.8
1011,072990,에이치시티,기타 과학기술 서비스업,기술검사서비스,6,738.0,10650.0,0.0,0.0,0.0,0.0,0.0,0.0,12.94,8.26,0.21,1,8556.0,0.8
1012,083310,엘오티베큠,특수 목적용 기계 제조업,반도체제조용진공펌프,6,2047.0,15050.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,14.45,26.09,0,12084.0,0.8
1013,093920,서원인텍,통신 및 방송 장비 제조업,휴대폰용키패드및부자재,6,1376.0,7400.0,0.0,0.0,0.0,0.0,0.0,0.0,7.97,3.15,1.92,1,5899.0,0.8
1014,002700,신일전자,기계장비 및 관련 물품 도매업,"가정용 전기기구(선풍기,난로,세탁기),전자기구,연구기구 제조,수출입",6,1414.0,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,6.32,18.87,17.75,0,1570.0,0.79
1015,003920,남양유업,낙농제품 및 식용빙과류 제조업,"시유,조제분유,발효유,이유밀,치즈,프렌치까페 제조,도매",6,2189.0,304000.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,0.23,0.56,0,241523.0,0.79
1016,009770,삼정펄프,"펄프, 종이 및 판지 제조업","지류화장지,안면용,위생용 티슈 제조,판매",6,657.0,26300.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56,-0.1,5.77,0,20802.0,0.79
1017,034950,한국기업평가,기타 사업지원 서비스업,"신용평가, 컨설팅, 위험관리솔루션",6,3446.0,75900.0,0.0,0.0,0.0,0.0,0.0,0.0,20.96,18.51,17.67,1,60227.0,0.79
1018,055490,테이팩스,플라스틱제품 제조업,"OCA, 2차전지용 테이프, 산업용 랩 등",5,1208.0,25600.0,0.0,0.0,0.0,0.0,0.0,0.0,7.87,5.63,9.6,0,20183.0,0.79
1019,239610,에이치엘사이언스,기타 식품 제조업,건강기능식품 등,6,2905.0,56500.0,0.0,0.0,0.0,0.0,0.0,0.0,27.38,18.71,9.56,1,44415.0,0.79
1020,260660,알리코제약,의료용품 및 기타 의약 관련제품 제조업,완제 의약품,3,1390.0,14150.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,2.99,18.87,0,11208.0,0.79
1021,039420,케이엘넷,전기 통신업,EC/EDI,6,568.0,2350.0,0.0,0.0,0.0,0.0,0.0,0.0,10.41,5.55,8.54,0,1838.0,0.78
1022,264450,유비쿼스,통신 및 방송 장비 제조업,"스위치, FTTH",6,1916.0,37400.0,0.0,0.0,0.0,0.0,0.0,0.0,13.24,20.13,0.0,0,29273.0,0.78
1023,009180,한솔로지스틱스,기타 운송관련 서비스업,"지류펄프 보관창고 운영/화물취급,화물운송알선,물류컨설팅/종합쇼핑몰운영,통신판매,인터넷백화점",4,603.0,2195.0,0.0,0.0,0.0,0.0,0.0,0.0,11.44,2.81,6.29,0,1684.0,0.77
1024,017510,세명전기,기타 금속 가공제품 제조업,"154kV, 345kV, 765kV 송전,변전,배전용 금구류, 섬유직기용 섹셔날 빔",6,608.0,3985.0,0.0,0.0,0.0,0.0,0.0,0.0,4.87,5.34,5.68,0,3082.0,0.77
1025,025550,한국선재,1차 철강 제조업,철강선재류,4,732.0,2985.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95,7.74,4.7,0,2299.0,0.77
1026,128660,피제이메탈,1차 비철금속 제조업,"탈산제, 조재제",6,506.0,2040.0,0.0,0.0,0.0,0.0,0.0,0.0,5.19,7.93,13.77,0,1570.0,0.77
1027,293580,나우IB,기타 금융업,"투자조합, PEF 결성 및 투자",6,618.0,6520.0,0.0,0.0,0.0,0.0,0.0,0.0,4.24,3.77,11.46,0,5020.0,0.77
1028,327260,메탈라이프,전자부품 제조업,"광통신, RF통신용 패키지",6,691.0,19200.0,0.0,0.0,0.0,0.0,0.0,0.0,6.17,37.36,0.0,0,14694.0,0.77
1029,006110,삼아알미늄,1차 비철금속 제조업,"알루미늄박지,은박지,은박가공품,알페이스트 제조,도매,수출",6,586.0,5330.0,0.0,0.0,0.0,0.0,0.0,0.0,4.62,2.64,0.12,1,4051.0,0.76
1030,317830,에스피시스템스,특수 목적용 기계 제조업,산업용 갠트리 로봇,4,497.0,6100.0,0.0,0.0,0.0,0.0,0.0,0.0,5.22,19.12,0.0,0,4654.0,0.76
1031,005500,삼진제약,의약품 제조업,"의약품(게보린,세트라졸,염산나록손) 제조,판매,수출입,약초재배",6,3975.0,28600.0,0.0,0.0,0.0,0.0,0.0,0.0,5.69,13.01,19.71,0,21510.0,0.75
1032,051390,YW,상품 종합 도매업,"이동통신중계시스템, 데이터네트웍장비, 광전송 장비",6,420.0,3695.0,0.0,0.0,0.0,0.0,0.0,0.0,2.79,3.07,4.09,0,2779.0,0.75
1033,075970,동국알앤에스,기타 비금속 광물제품 제조업,"내화물, 페라이트, 세라믹",6,434.0,2360.0,0.0,0.0,0.0,0.0,0.0,0.0,2.99,3.96,3.49,0,1762.0,0.75
1034,123040,엠에스오토텍,자동차 신품 부품 제조업,자동차 차체 부품,1,1838.0,5360.0,0.0,0.0,0.0,0.0,0.0,0.0,13.84,4.1,-10.9,1,4012.0,0.75
1035,126640,화신정공,자동차 신품 부품 제조업,자동차부품,6,460.0,1265.0,0.0,0.0,0.0,0.0,0.0,0.0,4.39,1.35,3.81,0,950.0,0.75
1036,138490,코오롱플라스틱,합성고무 및 플라스틱 물질 제조업,엔지니어링플라스틱,6,1706.0,4490.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,6.28,9.48,0,3348.0,0.75
1037,004380,삼익THK,일반 목적용 기계 제조업,"직선운동시스템,메카트로시스템,기타정밀 자동화기기 제조,판매/전자상거래,인터넷 관련 s/w,h/w 개발,판매,유지보수",6,2237.0,10650.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,9.8,16.56,0,7929.0,0.74
1038,008770,호텔신라,기타 상품 전문 소매업,"면세판매,관광숙박,외식사업,예식업",0,27591.0,70300.0,0.0,0.0,0.0,0.0,0.0,-15.4,20.16,15.41,3.81,1,51742.0,0.74
