,Code,Name,Industry,Main_product,시가총액_억,Ratio,영업활동&현금_202006,영업활동&현금_201912,영업활동&현금_201812,영업활동&현금_201712
8117,327970,케어룸의료산업,의료용 기기 제조업,"의료용침대, 모션베드, 기타 의료기기 등",130,0.0,0.0,0.0,0.0,0.0
8118,327970,케어룸의료산업,의료용 기기 제조업,"의료용침대, 모션베드, 기타 의료기기 등",130,0.0,0.0,0.0,1.0,0.0
8119,327970,케어룸의료산업,의료용 기기 제조업,"의료용침대, 모션베드, 기타 의료기기 등",130,0.0,0.0,0.0,0.0,4.0
8120,328380,미래에셋대우스팩3호,금융 지원 서비스업,기업인수합병,130,0.0,0.0,0.0,0.0,0.0
8121,329020,오션스톤,음·식료품 및 담배 도매업,"간고등어 제품, 냉동수산물 유통",60,0.0,0.0,-3.0,0.0,0.0
8122,329020,오션스톤,음·식료품 및 담배 도매업,"간고등어 제품, 냉동수산물 유통",60,0.0,0.0,0.0,0.0,0.0
8123,329020,오션스톤,음·식료품 및 담배 도매업,"간고등어 제품, 냉동수산물 유통",60,0.0,0.0,0.0,6.0,0.0
8124,329050,구스앤홈,직물직조 및 직물제품 제조업,"구스 다운 침구류(이불, 베개, 커버류 등)",41,0.0,0.0,-33.0,0.0,0.0
8125,329050,구스앤홈,직물직조 및 직물제품 제조업,"구스 다운 침구류(이불, 베개, 커버류 등)",41,0.0,0.0,0.0,-8.0,0.0
8126,329050,구스앤홈,직물직조 및 직물제품 제조업,"구스 다운 침구류(이불, 베개, 커버류 등)",41,0.0,0.0,0.0,0.0,-6.0
8127,329050,구스앤홈,직물직조 및 직물제품 제조업,"구스 다운 침구류(이불, 베개, 커버류 등)",41,0.0,0.0,0.0,0.0,0.0
8128,329560,상상인이안제2호스팩,금융 지원 서비스업,기업인수합병,76,0.0,0.0,-2.0,0.0,0.0
8129,329560,상상인이안제2호스팩,금융 지원 서비스업,기업인수합병,76,0.0,0.0,0.0,0.0,0.0
8130,330990,케이비제19호스팩,금융 지원 서비스업,금융지원서비스,86,0.0,0.0,0.0,0.0,0.0
8131,331380,유진스팩5호,금융 지원 서비스업,합병,80,0.0,0.0,0.0,0.0,0.0
8132,331520,교보9호스팩,금융 지원 서비스업,기업인수합병,77,0.0,0.0,-1.0,0.0,0.0
8133,331520,교보9호스팩,금융 지원 서비스업,기업인수합병,77,0.0,0.0,0.0,0.0,0.0
8134,331660,한국미라클피플사,기타 화학제품 제조업,"은나노스텝, 닥터오렌지 등",199,0.0,0.0,-22.0,0.0,0.0
8135,331660,한국미라클피플사,기타 화학제품 제조업,"은나노스텝, 닥터오렌지 등",199,0.0,0.0,0.0,0.0,0.0
8136,331660,한국미라클피플사,기타 화학제품 제조업,"은나노스텝, 닥터오렌지 등",199,0.0,0.0,0.0,8.0,0.0
