,code,year,매출액,영업이익,당기순이익,ROE,EPS
167,068290,2018/12,1861.0,33.0,5.0,0.38,33.0
168,068290,2019/12,2020.0,48.0,66.0,5.49,487.0
169,068290,2020/12(E),0.0,0.0,0.0,0.0,0.0
170,000810,2016/12,,10712.0,8606.0,8.15,16967.0
171,000810,2017/12,,12576.0,10553.0,9.16,20819.0
172,000810,2018/12,,14508.0,10707.0,8.78,21119.0
173,000810,2019/12,,8626.0,6456.0,4.83,12716.0
174,000810,2020/12(E),,0.0,8005.0,5.5,15781.0
175,003230,2016/12,3593.0,253.0,188.0,10.9,2431.0
176,003230,2017/12,4585.0,433.0,291.0,15.28,3807.0
177,003230,2018/12,4694.0,552.0,353.0,16.16,4623.0
178,003230,2019/12,5436.0,783.0,600.0,23.15,7906.0
179,003230,2020/12(E),6659.0,1070.0,838.0,25.67,10994.0
180,000070,2016/12,23115.0,1410.0,651.0,1.68,2550.0
181,000070,2017/12,23963.0,988.0,672.0,2.76,4248.0
182,000070,2018/12,25635.0,1385.0,1025.0,5.02,7890.0
183,000070,2019/12,24886.0,794.0,620.0,2.18,3481.0
184,000070,2020/12(E),0.0,0.0,0.0,0.0,0.0
185,005680,2016/12,2149.0,97.0,132.0,2.83,660.0
186,005680,2017/12,2294.0,89.0,106.0,2.25,529.0
187,005680,2018/12,2497.0,131.0,151.0,3.18,757.0
188,005680,2019/12,2010.0,46.0,86.0,1.77,428.0
189,005680,2020/12(E),1850.0,67.0,101.0,2.11,505.0
190,003720,2016/12,1136.0,-64.0,-107.0,-8.09,-206.0
191,003720,2017/12,1004.0,-138.0,-318.0,-31.2,-631.0
192,003720,2018/12,1029.0,-63.0,-78.0,-13.92,-203.0
193,003720,2019/12,1111.0,-9.0,-19.0,-4.49,-59.0
194,003720,2020/12(E),0.0,0.0,0.0,0.0,0.0
195,001290,2016/12,,-41.0,-43.0,-2.97,-66.0
196,001290,2017/12,,-92.0,-42.0,-3.28,-78.0
197,001290,2018/12,,-114.0,-94.0,-8.32,-195.0
198,001290,2019/12,,-54.0,-80.0,-6.42,-93.0
199,001290,2020/12(E),,0.0,0.0,0.0,0.0
200,007610,2016/12,939.0,23.0,22.0,2.71,120.0
201,007610,2017/12,1084.0,15.0,17.0,1.94,92.0
202,007610,2018/12,838.0,11.0,-8.0,-0.93,-45.0
203,007610,2019/12,893.0,-17.0,-22.0,-2.52,-119.0
204,007610,2020/12(E),0.0,0.0,0.0,0.0,0.0
205,136490,2016/12,6453.0,423.0,327.0,16.79,1836.0
206,136490,2017/12,8167.0,547.0,556.0,20.98,2966.0
207,136490,2018/12,9124.0,348.0,185.0,5.61,754.0
208,136490,2019/12,10140.0,401.0,203.0,6.72,899.0
209,136490,2020/12(E),11781.0,685.0,340.0,9.8,1388.0
210,004490,2016/12,9598.0,743.0,628.0,7.88,4484.0
211,004490,2017/12,11111.0,698.0,667.0,7.76,4754.0
212,004490,2018/12,11809.0,1113.0,966.0,10.32,6897.0
213,004490,2019/12,11390.0,1057.0,784.0,7.7,5597.0
214,004490,2020/12(E),0.0,0.0,0.0,0.0,0.0
215,091090,2016/12,2222.0,-1.0,-89.0,-5.36,-149.0
216,091090,2017/12,1581.0,38.0,-77.0,-4.0,-128.0
217,091090,2018/12,1338.0,-97.0,-169.0,-9.43,-277.0
218,091090,2019/12,1819.0,16.0,-57.0,-3.3,-93.0
219,091090,2020/12(E),0.0,0.0,0.0,0.0,0.0
220,019170,2016/12,1941.0,96.0,-186.0,-9.04,-353.0
221,019170,2017/12,1850.0,90.0,21.0,0.98,38.0
222,019170,2018/12,1874.0,69.0,20.0,0.92,36.0
223,019170,2019/12,1897.0,20.0,18.0,0.8,31.0
224,019170,2020/12(E),0.0,0.0,0.0,0.0,0.0
225,293940,2017/12,0.0,0.0,0.0,0.0,0.0
226,293940,2020/12(E),0.0,0.0,0.0,0.0,0.0
227,055550,2016/12,,31086.0,28249.0,8.96,5810.0
228,055550,2017/12,,38300.0,29492.0,9.13,6155.0
229,055550,2018/12,,44994.0,31983.0,9.21,6657.0
230,055550,2019/12,,50463.0,36424.0,9.09,7004.0
231,055550,2020/12(E),,45612.0,33061.0,7.81,6453.0
232,003620,2016/12,36285.0,280.0,581.0,7.6,423.0
233,003620,2017/12,34946.0,-653.0,-658.0,-8.29,-478.0
234,003620,2018/12,37048.0,-642.0,-618.0,-8.42,-448.0
235,003620,2019/12,36239.0,-2819.0,-3414.0,-62.27,-2291.0
236,003620,2020/12(E),0.0,0.0,0.0,0.0,0.0
237,011090,2016/12,3941.0,24.0,19.0,3.17,31.0
238,011090,2017/12,4345.0,35.0,21.0,3.67,36.0
239,011090,2018/12,4457.0,9.0,12.0,2.28,23.0
240,011090,2019/12,3636.0,-28.0,-38.0,-6.42,-61.0
241,011090,2020/12(E),0.0,0.0,0.0,0.0,0.0
242,012750,2016/12,18302.0,2057.0,1405.0,13.51,3698.0
243,012750,2017/12,19423.0,2026.0,1433.0,12.42,3772.0
244,012750,2018/12,20183.0,1991.0,1030.0,8.34,2710.0
245,012750,2019/12,21515.0,1968.0,1466.0,11.32,3859.0
246,012750,2020/12(E),22441.0,2140.0,1574.0,11.64,4144.0
247,012280,2016/12,1564.0,108.0,92.0,14.71,203.0
248,012280,2017/12,1805.0,72.0,47.0,6.76,103.0
249,012280,2018/12,2267.0,11.0,10.0,1.48,23.0
250,012280,2019/12,2326.0,20.0,3.0,0.38,6.0
251,012280,2020/12(E),0.0,0.0,0.0,0.0,0.0
252,008600,2016/12,3108.0,101.0,40.0,2.8,68.0
253,008600,2017/12,2910.0,70.0,7.0,0.42,10.0
254,008600,2018/12,2777.0,34.0,-66.0,-4.97,-117.0
255,008600,2019/12,2696.0,-197.0,-365.0,-30.74,-598.0
256,008600,2020/12(E),0.0,0.0,0.0,0.0,0.0
257,023800,2016/12,6240.0,184.0,115.0,5.1,670.0
258,023800,2017/12,5409.0,50.0,-9.0,-0.01,-1.0
259,023800,2018/12,5041.0,111.0,10.0,1.56,197.0
260,023800,2019/12,4942.0,56.0,-78.0,-4.47,-545.0
261,023800,2020/12(E),0.0,0.0,0.0,0.0,0.0
262,129260,2016/12,4654.0,107.0,74.0,4.07,266.0
263,129260,2017/12,5020.0,149.0,59.0,2.88,202.0
264,129260,2018/12,4924.0,94.0,-141.0,-6.38,-454.0
265,129260,2019/12,4782.0,65.0,-440.0,-14.2,-902.0
266,129260,2020/12(E),0.0,0.0,0.0,0.0,0.0
267,013360,2016/12,2858.0,81.0,21.0,2.2,39.0
268,013360,2017/12,4208.0,129.0,-120.0,-13.21,-222.0
269,013360,2018/12,3640.0,99.0,24.0,2.79,45.0
270,013360,2019/12,3758.0,74.0,19.0,2.05,34.0
271,013360,2020/12(E),0.0,0.0,0.0,0.0,0.0
272,081000,2016/12,1084.0,64.0,47.0,5.63,397.0
273,081000,2017/12,1189.0,147.0,74.0,8.37,647.0
274,081000,2018/12,1340.0,152.0,77.0,7.71,651.0
275,081000,2019/12,1611.0,132.0,128.0,8.06,892.0
276,081000,2020/12(E),0.0,0.0,0.0,0.0,0.0
277,271980,2016/12,0.0,0.0,0.0,0.0,0.0
278,271980,2017/12,3716.0,50.0,11.0,0.0,73.0
279,271980,2018/12,6271.0,74.0,19.0,1.04,128.0
280,271980,2019/12,6714.0,4.0,-106.0,-5.96,-720.0
281,271980,2020/12(E),0.0,0.0,0.0,0.0,0.0
282,001560,2016/12,864.0,42.0,47.0,6.81,466.0
283,001560,2017/12,825.0,63.0,40.0,5.6,400.0
284,001560,2018/12,822.0,54.0,52.0,6.87,522.0
285,001560,2019/12,811.0,69.0,64.0,7.84,640.0
286,001560,2020/12(E),0.0,0.0,0.0,0.0,0.0
287,002620,2016/12,406.0,31.0,79.0,2.57,425.0
288,002620,2017/12,482.0,44.0,5209.0,230.26,59088.0
289,002620,2018/12,1427.0,109.0,73.0,2.04,1223.0
290,002620,2019/12,7311.0,90.0,-959.0,-20.52,-5676.0
291,002620,2020/12(E),0.0,0.0,0.0,0.0,0.0
292,002600,2016/12,1297.0,115.0,81.0,7.38,13533.0
293,002600,2017/12,1621.0,141.0,113.0,9.67,18830.0
294,002600,2018/12,1681.0,114.0,80.0,6.54,13393.0
295,002600,2019/12,1951.0,123.0,78.0,6.15,13076.0
296,002600,2020/12(E),0.0,0.0,0.0,0.0,0.0
297,071320,2016/12,17199.0,1617.0,1267.0,7.19,10943.0
298,071320,2017/12,18344.0,1198.0,699.0,3.85,6035.0
299,071320,2018/12,24873.0,145.0,-2265.0,-13.36,-19564.0
300,071320,2019/12,23679.0,422.0,-256.0,-1.66,-2209.0
301,071320,2020/12(E),21170.0,1215.0,492.0,3.17,4249.0
302,088790,2016/12,1230.0,109.0,83.0,9.0,667.0
303,088790,2017/12,1283.0,115.0,95.0,9.59,762.0
304,088790,2018/12,1201.0,73.0,56.0,5.4,449.0
305,088790,2019/12,779.0,-29.0,-27.0,-2.67,-219.0
306,088790,2020/12(E),0.0,0.0,0.0,0.0,0.0
307,109070,2016/12,460.0,-89.0,-163.0,-130.15,-36403.0
308,109070,2017/12,907.0,-166.0,-182.0,-129.14,-13665.0
309,109070,2018/12,891.0,-147.0,-182.0,-428.05,-12069.0
310,109070,2019/12,458.0,-59.0,-103.0,-548.06,-5482.0
311,109070,2020/12(E),0.0,0.0,0.0,0.0,0.0
312,120110,2016/12,45622.0,2767.0,1760.0,8.93,6102.0
313,120110,2017/12,46070.0,1980.0,1227.0,6.49,4830.0
314,120110,2018/12,44598.0,1669.0,429.0,3.04,2250.0
315,120110,2019/12,44072.0,1729.0,221.0,1.58,1092.0
316,120110,2020/12(E),40587.0,1419.0,2187.0,10.37,7295.0
317,020120,2016/12,139.0,9.0,-62.0,-26.46,-393.0
318,020120,2017/12,143.0,-5.0,-23.0,-13.47,-142.0
319,020120,2018/12,196.0,3.0,2.0,0.91,10.0
320,020120,2019/12,267.0,7.0,23.0,14.5,166.0
321,020120,2020/12(E),0.0,0.0,0.0,0.0,0.0
322,015890,2016/12,4447.0,122.0,44.0,1.38,84.0
323,015890,2017/12,5637.0,196.0,61.0,4.56,283.0
324,015890,2018/12,5635.0,234.0,144.0,5.82,412.0
325,015890,2019/12,5196.0,108.0,256.0,8.91,706.0
326,015890,2020/12(E),0.0,0.0,0.0,0.0,0.0
327,004100,2016/12,4770.0,156.0,96.0,9.3,241.0
