,Code,Name,Industry,Main_product,부채비율,시가총액(억),종가,S-RIM,매수금액,매도금액_1st,매도금액_2nd,매수비율(S-RIM),매도비율(S-RIM),ROE_20,ROE_19,roe_past_2,roe_past_3,ROE_improve,Return_rate(BPS&ROE),영업이익_20(E),영업이익_19,영업이익_18,영업이익_17,Multiple,영업이익_비율,매출액_20(E),매출액_19,매출액_18,매출액_17
546,021040,대호피앤씨,1차 철강 제조업,냉간압조용선재,4,502.0,688.0,Ave ROE,851.0,740.0,345.0,1.24,0.5,0.0,0.96,3.01,7.3,No,0.48,0.0,46.0,60.0,102.0,10,0.0,0.0,2042.0,2099.0,2053.0
547,187790,나노,기초 화학물질 제조업,세라믹스제품,4,312.0,1225.0,Ave ROE,1517.0,1176.0,-38.0,1.24,-0.03,0.0,0.95,-1.8,-0.15,No,-0.03,0.0,-9.0,22.0,17.0,10,0.0,0.0,737.0,819.0,731.0
548,035080,인터파크,무점포 소매업,지주회사,1,1612.0,1990.0,Ave ROE,2464.0,1359.0,-2577.0,1.24,-1.3,0.0,-1.6,-2.8,-20.37,Yes,-1.77,0.0,452.0,200.0,298.0,10,0.0,0.0,34123.0,34409.0,35415.0
549,010050,우리종금,기타 금융업,"종합금융,주택할부금융,부동산",1,3391.0,507.0,Ave ROE,625.0,685.0,901.0,1.23,1.78,0.0,15.63,11.12,8.37,Yes,1.78,0.0,539.0,329.0,206.0,10,0.0,0.0,0.0,0.0,0.0
550,011500,한농화성,기타 화학제품 제조업,"계면활성제,글리콜에테르 제조,판매",5,1113.0,6320.0,Ave ROE,7783.0,7721.0,7498.0,1.23,1.19,0.0,8.58,5.32,8.29,No,1.17,0.0,120.0,57.0,79.0,10,0.0,0.0,2047.0,2232.0,2363.0
551,140660,위월드,통신 및 방송 장비 제조업,"이동위성통신안테나, 위성방송시스템",5,35.0,1400.0,Ave ROE,1718.0,1193.0,-677.0,1.23,-0.48,0.0,-6.33,10.57,-15.3,No,-0.49,0.0,-5.0,6.0,-9.0,10,0.0,0.0,64.0,81.0,76.0
552,244880,나눔테크,의료용 기기 제조업,"자동심장충격기, 골밀도진단기",5,146.0,2995.0,Ave ROE,3663.0,4867.0,9155.0,1.22,3.06,0.0,32.51,36.43,36.69,No,3.05,0.0,32.0,29.0,15.0,10,0.0,0.0,136.0,115.0,105.0
553,067920,이글루시큐리티,기타 정보 서비스업,"통합보안관리솔루션, 보안관제서비스",5,503.0,4645.0,Ave ROE,5649.0,5945.0,6999.0,1.22,1.51,0.0,4.26,19.4,10.8,No,1.43,0.0,17.0,30.0,31.0,10,0.0,0.0,756.0,647.0,601.0
554,155900,바다로19호,운송장비 임대업,,5,0.0,2555.0,Ave ROE,3109.0,3241.0,3712.0,1.22,1.45,0.0,12.05,16.31,-9.49,No,1.45,0.0,23.0,22.0,26.0,10,,0.0,64.0,60.0,62.0
555,107590,미원홀딩스,기타 금융업,도료첨가제,5,1288.0,54000.0,Ave ROE,65997.0,68056.0,75388.0,1.22,1.4,0.0,11.03,7.62,7.5,Yes,1.39,0.0,78.0,36.0,92.0,10,0.0,0.0,1884.0,1420.0,1176.0
556,037460,삼지전자,통신 및 방송 장비 제조업,"통신기기,정보기기,BACKLIGHTUNIT사업",5,1779.0,11150.0,Ave ROE,13595.0,13930.0,15123.0,1.22,1.36,0.0,7.12,7.62,17.28,No,1.29,0.0,362.0,325.0,524.0,10,0.0,0.0,14950.0,14396.0,13046.0
557,025550,한국선재,1차 철강 제조업,철강선재류,3,698.0,2940.0,Ave ROE,3593.0,3339.0,2434.0,1.22,0.83,0.0,2.95,7.74,4.7,No,0.79,0.0,67.0,72.0,68.0,10,0.0,0.0,1855.0,1927.0,1667.0
558,093520,매커스,기계장비 및 관련 물품 도매업,자일링스(Xilinx)비메모리반도체(PLDchip)유통,5,700.0,4295.0,Ave ROE,5200.0,5813.0,7996.0,1.21,1.86,0.0,9.11,18.7,20.63,No,1.64,0.0,59.0,129.0,110.0,15,0.0,0.0,575.0,896.0,874.0
559,140070,서플러스글로벌,기계장비 및 관련 물품 도매업,"반도체 제조용 장비, 유휴기계설비 도소매",5,1211.0,3160.0,Ave ROE,3813.0,4020.0,4756.0,1.21,1.5,0.0,1.28,17.46,24.19,No,1.46,0.0,27.0,272.0,267.0,15,0.0,0.0,1103.0,1461.0,1117.0
560,014130,한익스프레스,도로 화물 운송업,"특수화물 운송(유류,화학류,벌크제품 등),냉동차,탱크로리운송,복합운송 주선,임대,택배/특장차,중기 제조,판매",1,624.0,5060.0,Ave ROE,6116.0,6235.0,6659.0,1.21,1.32,0.0,8.3,8.16,11.15,No,1.32,0.0,119.0,95.0,101.0,10,0.0,0.0,5774.0,5659.0,5279.0
561,052420,오성첨단소재,플라스틱제품 제조업,"보호, 기능성 필름",5,1397.0,2275.0,Ave ROE,2761.0,2705.0,2503.0,1.21,1.1,0.0,9.68,5.27,1.79,Yes,1.09,0.0,19.0,7.0,26.0,10,0.0,0.0,666.0,441.0,306.0
